Designator,Footprint,Quantity,Value,LCSC Part #
"+5V, INT2",TestPoint_Pad_1.5x1.5mm,2,TestPoint,
AE1,U.FL_Molex_MCRF_73412-0110_Vertical,1,Antenna_Shield,
BAT,PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left,1,PWR,
"C1, C11, C16, C2, C3, C4, C5, C6, C7, C9",0805,10,1uF,
"C10, C12, C14, C15",0805,4,4.7uF50V,
"C13, C21, C24, C25, C26",0603,5,100nF,
"C17, C18, C19, C20, C22, C23, C8",0805,7,100nF,
"D1, D2, D3",D_SOD-123,3,MBR0530,
"D4, D5, D6",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,3,WS2812B,
D7,0805,1,LED,
D8,D_SOD-323,1,MBR0530,
EINK1,TE_2-1734839-4_1x24-1MP_P0.5mm_Horizontal,1,FPCConn,
"H1, H2",MountingHole_2.2mm_M2,2,MountingHole,
I3,TestPoint_Pad_D1.0mm,1,TestPoint,
"INT1, RX, TX",TestPoint_Pad_1.0x1.0mm,3,TestPoint,
IO0,PinHeader_1x02_P1.27mm_Vertical,1,Conn_01x02_Pin,
"J1, RES",PinHeader_1x02_P2.00mm_Vertical,2,Conn_01x02_Pin,
J2,TF-SMD_XKTF-0803-0,1,Micro_SD_Card_Det_US,
J3,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Conn_01x02_Pin,
"J5, J7",PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left,2,Conn_01x03_Pin,
J6,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
"J9, ON",SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,2,Conn_01x02_Pin,
JOG,JogWheel,1,jogdial,
JP2,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,SolderJumper_2_Bridged,
L1,1210,1,68uH1A,
Q1,SOT-323_SC-70,1,Si1308,
"R1, R10, R13, R18",0805,4,10K,
"R11, R19",0805,2,300K,
"R12, R15, R17, R2",0805,4,100K,
"R14, R3, R9",0805,3,1K,
"R16, R20, R21",0603,3,100K,
R23,0603,1,22,
"R24, R25, R4",0603,3,10K,
R26,0603,1,0R,
R27,0603,1,N.C.,
"R5, R6",0805,2,5k11,
R7,0805,1,0R,
R8,0805,1,3R,
SI2,SOT-23,1,SI2301CDS,
"SW1, SW2",SW_SPST_CK_KMS2xxGP,2,SW_Push,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-Espressif,
U10,LGA-12_2x2mm_P0.5mm,1,LIS3MDL,
U11,GC9A01_IPS_display_reversed,1,GC9A01_IPS_display,
U12,LGA-16_3x3mm_P0.5mm,1,MMC5883MA,
"U13, U9",Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,2,BME280,
U2,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DS3,
"U3, U8",TQFN-16_L3.0-W3.0-P0.50-BL-EP1.5,2,~,
U4,SOT-23-5,1,RT9013,
U5,HOPERF_RFM9XW_SMD,1,RFM95W-868S2,
U6,ZMOD4410AI1V,1,4410AI1V,
U7,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,TP4065,
USB,USB-C_SMD-TYPE-C-31-M-12,1,KoreanHropartsElecTYPE-C-31-M-12,
